Location,StockID,Color,Shape,Clarity,Weight,Polish,Symmetry,Measurement,Depth,Table,Fluoresence,Fluoresence Color,Lab,CertNo,Unit,Price/Ct,Curr
Bangkok,4954,Fancy Light Pink,Round,SI1,0.1,,,XX,,,None,,Argyle,441588,Cts,12000,US$
Bangkok,4940,Fancy Light Pink,Round,SI1,0.1,,,,,,,,Argyle,430808,Cts,16000,US$
Bangkok,4939,Fancy Light Pink,Round,SI1,0.1,,,XX,,,None,,Argyle,408414,Cts,12000,US$
Bangkok,4941,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,430795,Cts,12000,US$
Bangkok,4942,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,430843,Cts,12000,US$
Bangkok,4961,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,441583,Cts,12000,US$
Bangkok,4960,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,441586,Cts,12000,US$
Bangkok,4959,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,441601,Cts,12000,US$
Bangkok,4958,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,441604,Cts,12000,US$
Bangkok,4957,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,408352,Cts,12000,US$
Bangkok,4956,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,430739,Cts,12000,US$
Bangkok,4955,Fancy Light Pink,Round,SI1,0.09,,,XX,,,None,,Argyle,430744,Cts,12000,US$
Mumbai,2961,Fancy Light Yellowish Gray,Round,I1,0.09,,,2.86-2.88*1.78,0,0,None,,CGL,H9209034,Cts,0,US$
Mumbai,6450,,Cushion,,0.08,,,2,0,0,None,,NC,,Cts,0,US$
Bangkok,4951,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,441580,Cts,12000,US$
Bangkok,4950,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,441595,Cts,12000,US$
Bangkok,4949,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,441598,Cts,12000,US$
Bangkok,4947,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,430764,Cts,12000,US$
Bangkok,4943,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,408369,Cts,12000,US$
Bangkok,4948,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,441610,Cts,12000,US$
Bangkok,4945,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,406208,Cts,12000,US$
Bangkok,4946,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,430732,Cts,12000,US$
Bangkok,4944,Fancy Light Pink,Round,SI1,0.08,,,XX,,,None,,Argyle,404621,Cts,12000,US$
Bangkok,8631,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,108396,Cts,16000,US$
Bangkok,8630,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,430803,Cts,16000,US$
Bangkok,8629,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,404672,Cts,16000,US$
Bangkok,8628,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,408399,Cts,16000,US$
Bangkok,8627,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,408409,Cts,16000,US$
Bangkok,8624,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,404661,Cts,16000,US$
Bangkok,8623,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,404671,Cts,16000,US$
Bangkok,8626,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,410533,Cts,16000,US$
Bangkok,8625,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,430841,Cts,16000,US$
Bangkok,8622,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,406249,Cts,16000,US$
Bangkok,8621,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,430791,Cts,16000,US$
Bangkok,8620,Fancy Light Pink,Round,SI,0.08,,,,,,,,Argyle,430825,Cts,16000,US$
Mumbai,2503,Fancy Purple Pink,Marquise,I1,0.07,,,,,,None,,AGT,7738489,Cts,1360,US$
Bangkok,3602,Fancy Green,Round,SI1,0.06,,,2.53 X 2.57 x 1.51,0,0,None,,GIA,1206125374,Cts,0,US$
Mumbai,2509,Fancy Orangy Pink,Marquise,SI2,0.05,,,,0,0,None,,CGL,N0981684,Cts,1105,US$
Bangkok,2371,Fancy Deep Violet,Pear,SI2,0.05,,,2.96x1.94x1.40,0,0,None,,CGL,h8500055,Cts,200000,US$
Bangkok,2536,Light Bluish Gray,Round,VS2,0.05,,,2.39x2.4x1.43,0,0,None,,CGL,H8304600,Cts,15000,US$
