Stock ID,Model Photo Links,Model Video Links,FTP Folder,Photo Count,Video Count
6060,,https://colourdiam.com/Product/Jewellery/Model%20images/6060/video.mp4,6060,0,1
6065,,https://colourdiam.com/Product/Jewellery/Model%20images/6065/video.mp4,6065,0,1
6109,,https://colourdiam.com/Product/Jewellery/Model%20images/6109/video.mp4,6109,0,1
6126_5641,"https://colourdiam.com/Product/Jewellery/Model%20images/6126_5641/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6126_5641/2526854-20240720-114132.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6126_5641/9082455-20240720-114132.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6126_5641/7954093-20240720-114133.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/6126_5641/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6126_5641/6126.mp4",6126_5641,4,2
6139,,https://colourdiam.com/Product/Jewellery/Model%20images/6139/6139.mp4,6139,0,1
6166,,https://colourdiam.com/Product/Jewellery/Model%20images/6166/video.mp4,6166,0,1
6267,,https://colourdiam.com/Product/Jewellery/Model%20images/6267/video.mp4,6267,0,1
6279_6318,,https://colourdiam.com/Product/Jewellery/Model%20images/6279_6318/video.mp4,6279_6318,0,1
6283,,https://colourdiam.com/Product/Jewellery/Model%20images/6283/video.mp4,6283,0,1
6313,,https://colourdiam.com/Product/Jewellery/Model%20images/6313/video.mp4,6313,0,1
6357,,https://colourdiam.com/Product/Jewellery/Model%20images/6357/6357.mp4,6357,0,1
6373,,https://colourdiam.com/Product/Jewellery/Model%20images/6373/video.mp4,6373,0,1
6374,,https://colourdiam.com/Product/Jewellery/Model%20images/6374/6374.mp4,6374,0,1
6639,"https://colourdiam.com/Product/Jewellery/Model%20images/6639/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6639/1.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/6639/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6639/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6639/3.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6639/4.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6639/b6639.jpg",,6639,7,0
6626_6627,"https://colourdiam.com/Product/Jewellery/Model%20images/6626_6627/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6626_6627/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6626_6627/center.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/6626_6627/video.mp4,6626_6627,3,1
6843,https://colourdiam.com/Product/Jewellery/Model%20images/6843/center.jpeg,"https://colourdiam.com/Product/Jewellery/Model%20images/6843/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6843/6843.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6843/6843_1.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6843/6843_2.mp4",6843,1,4
6851,https://colourdiam.com/Product/Jewellery/Model%20images/6851/center.jpeg,,6851,1,0
6865,https://colourdiam.com/Product/Jewellery/Model%20images/6865/center.jpeg,https://colourdiam.com/Product/Jewellery/Model%20images/6865/video.mp4,6865,1,1
6906,,"https://colourdiam.com/Product/Jewellery/Model%20images/6906/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6906/6906%20REEL.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6906/6906.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6906/6906_1.mp4",6906,0,4
6964,"https://colourdiam.com/Product/Jewellery/Model%20images/6964/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6964/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6964/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6964/3.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6964/WhatsApp%20Image%202026-06-23%20at%201.06.42%20PM.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/6964/WhatsApp%20Image%202026-06-23%20at%201.06.43%20PM.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/6964/6964.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6964/WhatsApp%20Video%202026-06-23%20at%201.06.42%20PM.mp4",6964,6,2
6967,,"https://colourdiam.com/Product/Jewellery/Model%20images/6967/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/6967/6967.mp4",6967,0,2
7045,,https://colourdiam.com/Product/Jewellery/Model%20images/7045/video.mp4,7045,0,1
7051_7489_7597,"https://colourdiam.com/Product/Jewellery/Model%20images/7051_7489_7597/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7051_7489_7597/2679796-20251219-120954.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7051_7489_7597/4593710-20251219-120955.jpeg",,7051_7489_7597,3,0
7074,,https://colourdiam.com/Product/Jewellery/Model%20images/7074/7752.mp4,7074,0,1
7078,,"https://colourdiam.com/Product/Jewellery/Model%20images/7078/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/7078/7078.mp4",7078,0,2
7081,,"https://colourdiam.com/Product/Jewellery/Model%20images/7081/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/7081/7081.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/7081/7081_1.mp4",7081,0,3
7090,,"https://colourdiam.com/Product/Jewellery/Model%20images/7090/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/7090/7090.mp4",7090,0,2
7120,,https://colourdiam.com/Product/Jewellery/Model%20images/7120/video.mp4,7120,0,1
7173,"https://colourdiam.com/Product/Jewellery/Model%20images/7173/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/WhatsApp%20Image%202025-10-01%20at%2023.52.45_3839a5f2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/WhatsApp%20Image%202025-10-01%20at%2023.52.46_d0ee9fc5.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/WhatsApp%20Image%202025-10-01%20at%2023.52.46_b3e23efb.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/Untitled%20Project%20-%202025-12-19T145641.105.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/WhatsApp%20Image%202025-10-01%20at%2023.52.46_af2628de.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/WhatsApp%20Image%202025-10-01%20at%2023.52.47_9af47392.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/3278023-20251218-175757.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/6006501-20251218-175757.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/8421182-20251218-175757.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7173/2633392-20251218-175819.jpeg",,7173,11,0
7230,"https://colourdiam.com/Product/Jewellery/Model%20images/7230/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7230/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7230/WhatsApp%20Image%202025-10-01%20at%2023.52.48_683af3e2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7230/WhatsApp%20Image%202025-10-01%20at%2023.52.48_5e6a7d5c.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7230/WhatsApp%20Image%202025-10-01%20at%2023.52.47_c8dc8b49.jpeg",,7230,5,0
7313,"https://colourdiam.com/Product/Jewellery/Model%20images/7313/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7313/9819731-20250711-144315%20-%20Copy%20%281%29.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7313/2890193-20250711-144314.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7313/8189898-20250711-144314.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/7313/6246971-20250711-144315.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/7313/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/7313/7313.mp4",7313,5,2
7349,,"https://colourdiam.com/Product/Jewellery/Model%20images/7349/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/7349/7349.mp4",7349,0,2
